,color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,rating,G,PG,PG-13,R,unrated,superstar,years_old
14,Color,Gore Verbinski,450.0,150.0,563.0,1000.0,Ruth Wilson,40000.0,89289910.0,Johnny Depp,The Lone Ranger ,181792,45757,Tom Wilkinson,1.0,http://www.imdb.com/title/tt1210819/?ref_=fn_tt_tt_1,711.0,English,USA,PG-13,215000000.0,2013-01-01,2000.0,6.5,PG-13,0,0,1,0,0,1,3
15,Color,Zack Snyder,733.0,143.0,0.0,748.0,Christopher Meloni,15000.0,291021565.0,Henry Cavill,Man of Steel ,548573,20495,Harry Lennix,0.0,http://www.imdb.com/title/tt0770828/?ref_=fn_tt_tt_1,2536.0,English,USA,PG-13,225000000.0,2013-01-01,3000.0,7.2,PG-13,0,0,1,0,0,0,3
16,Color,Andrew Adamson,258.0,150.0,80.0,201.0,Pierfrancesco Favino,22000.0,141614023.0,Peter Dinklage,The Chronicles of Narnia: Prince Caspian ,149922,22697,Damián Alcázar,4.0,http://www.imdb.com/title/tt0499448/?ref_=fn_tt_tt_1,438.0,English,USA,PG,225000000.0,2008-01-01,216.0,6.6,PG,0,1,0,0,0,0,8
17,Color,Joss Whedon,703.0,173.0,0.0,19000.0,Robert Downey Jr.,26000.0,623279547.0,Chris Hemsworth,The Avengers ,995415,87697,Scarlett Johansson,3.0,http://www.imdb.com/title/tt0848228/?ref_=fn_tt_tt_1,1722.0,English,USA,PG-13,220000000.0,2012-01-01,21000.0,8.1,PG-13,0,0,1,0,0,0,4
18,Color,Rob Marshall,448.0,136.0,252.0,1000.0,Sam Claflin,40000.0,241063875.0,Johnny Depp,Pirates of the Caribbean: On Stranger Tides ,370704,54083,Stephen Graham,4.0,http://www.imdb.com/title/tt1298650/?ref_=fn_tt_tt_1,484.0,English,USA,PG-13,250000000.0,2011-01-01,11000.0,6.7,PG-13,0,0,1,0,0,1,5
19,Color,Barry Sonnenfeld,451.0,106.0,188.0,718.0,Michael Stuhlbarg,10000.0,179020854.0,Will Smith,Men in Black 3 ,268154,12572,Nicole Scherzinger,1.0,http://www.imdb.com/title/tt1409024/?ref_=fn_tt_tt_1,341.0,English,USA,PG-13,225000000.0,2012-01-01,816.0,6.8,PG-13,0,0,1,0,0,0,4
21,Color,Marc Webb,599.0,153.0,464.0,963.0,Andrew Garfield,15000.0,262030663.0,Emma Stone,The Amazing Spider-Man ,451803,28489,Chris Zylka,0.0,http://www.imdb.com/title/tt0948470/?ref_=fn_tt_tt_1,1225.0,English,USA,PG-13,230000000.0,2012-01-01,10000.0,7.0,PG-13,0,0,1,0,0,0,4
22,Color,Ridley Scott,343.0,156.0,0.0,738.0,William Hurt,891.0,105219735.0,Mark Addy,Robin Hood ,211765,3244,Scott Grimes,0.0,http://www.imdb.com/title/tt0955308/?ref_=fn_tt_tt_1,546.0,English,USA,PG-13,200000000.0,2010-01-01,882.0,6.7,PG-13,0,0,1,0,0,0,6
23,Color,Peter Jackson,509.0,186.0,0.0,773.0,Adam Brown,5000.0,258355354.0,Aidan Turner,The Hobbit: The Desolation of Smaug ,483540,9152,James Nesbitt,6.0,http://www.imdb.com/title/tt1170358/?ref_=fn_tt_tt_1,951.0,English,USA,PG-13,225000000.0,2013-01-01,972.0,7.9,PG-13,0,0,1,0,0,0,3
24,Color,Chris Weitz,251.0,113.0,129.0,1000.0,Eva Green,16000.0,70083519.0,Christopher Lee,The Golden Compass ,149019,24106,Kristin Scott Thomas,2.0,http://www.imdb.com/title/tt0385752/?ref_=fn_tt_tt_1,666.0,English,USA,PG-13,180000000.0,2007-01-01,6000.0,6.1,PG-13,0,0,1,0,0,0,9
26,Color,James Cameron,315.0,194.0,0.0,794.0,Kate Winslet,29000.0,658672302.0,Leonardo DiCaprio,Titanic ,793059,45223,Gloria Stuart,0.0,http://www.imdb.com/title/tt0120338/?ref_=fn_tt_tt_1,2528.0,English,USA,PG-13,200000000.0,1997-01-01,14000.0,7.7,PG-13,0,0,1,0,0,0,19
27,Color,Anthony Russo,516.0,147.0,94.0,11000.0,Scarlett Johansson,21000.0,407197282.0,Robert Downey Jr.,Captain America: Civil War ,272670,64798,Chris Evans,0.0,http://www.imdb.com/title/tt3498820/?ref_=fn_tt_tt_1,1022.0,English,USA,PG-13,250000000.0,2016-01-01,19000.0,8.2,PG-13,0,0,1,0,0,0,0
28,Color,Peter Berg,377.0,131.0,532.0,627.0,Alexander Skarsgård,14000.0,65173160.0,Liam Neeson,Battleship ,202382,26679,Tadanobu Asano,0.0,http://www.imdb.com/title/tt1440129/?ref_=fn_tt_tt_1,751.0,English,USA,PG-13,209000000.0,2012-01-01,10000.0,5.9,PG-13,0,0,1,0,0,0,4
29,Color,Colin Trevorrow,644.0,124.0,365.0,1000.0,Judy Greer,3000.0,652177271.0,Bryce Dallas Howard,Jurassic World ,418214,8458,Omar Sy,0.0,http://www.imdb.com/title/tt0369610/?ref_=fn_tt_tt_1,1290.0,English,USA,PG-13,150000000.0,2015-01-01,2000.0,7.0,PG-13,0,0,1,0,0,0,1
31,Color,Sam Raimi,300.0,135.0,0.0,4000.0,James Franco,24000.0,373377893.0,J.K. Simmons,Spider-Man 2 ,411164,43388,Kirsten Dunst,1.0,http://www.imdb.com/title/tt0316654/?ref_=fn_tt_tt_1,1303.0,English,USA,PG-13,200000000.0,2004-01-01,11000.0,7.3,PG-13,0,0,1,0,0,0,12
32,Color,Shane Black,608.0,195.0,1000.0,3000.0,Jon Favreau,21000.0,408992272.0,Robert Downey Jr.,Iron Man 3 ,557489,30426,Don Cheadle,3.0,http://www.imdb.com/title/tt1300854/?ref_=fn_tt_tt_1,1187.0,English,USA,PG-13,200000000.0,2013-01-01,4000.0,7.2,PG-13,0,0,1,0,0,0,3
33,Color,Tim Burton,451.0,108.0,13000.0,11000.0,Alan Rickman,40000.0,334185206.0,Johnny Depp,Alice in Wonderland ,306320,79957,Anne Hathaway,0.0,http://www.imdb.com/title/tt1014759/?ref_=fn_tt_tt_1,736.0,English,USA,PG,200000000.0,2010-01-01,25000.0,6.5,PG,0,1,0,0,0,1,6
35,Color,Dan Scanlon,376.0,104.0,37.0,760.0,Tyler Labine,12000.0,268488329.0,Steve Buscemi,Monsters University ,235025,14863,Sean Hayes,0.0,http://www.imdb.com/title/tt1453405/?ref_=fn_tt_tt_1,265.0,English,USA,G,200000000.0,2013-01-01,779.0,7.3,G,1,0,0,0,0,0,3
36,Color,Michael Bay,366.0,150.0,0.0,464.0,Kevin Dunn,894.0,402076689.0,Glenn Morshower,Transformers: Revenge of the Fallen ,323207,3218,Ramon Rodriguez,0.0,http://www.imdb.com/title/tt1055369/?ref_=fn_tt_tt_1,1439.0,English,USA,PG-13,200000000.0,2009-01-01,581.0,6.0,PG-13,0,0,1,0,0,0,7
37,Color,Michael Bay,378.0,165.0,0.0,808.0,Sophia Myles,974.0,245428137.0,Bingbing Li,Transformers: Age of Extinction ,242420,3988,Kelsey Grammer,2.0,http://www.imdb.com/title/tt2109248/?ref_=fn_tt_tt_1,918.0,English,USA,PG-13,210000000.0,2014-01-01,956.0,5.7,PG-13,0,0,1,0,0,0,2
38,Color,Sam Raimi,525.0,130.0,0.0,11000.0,Mila Kunis,44000.0,234903076.0,Tim Holmes,Oz the Great and Powerful ,175409,73441,James Franco,4.0,http://www.imdb.com/title/tt1623205/?ref_=fn_tt_tt_1,511.0,English,USA,PG,215000000.0,2013-01-01,15000.0,6.4,PG,0,1,0,0,0,1,3
39,Color,Marc Webb,495.0,142.0,464.0,825.0,Andrew Garfield,15000.0,202853933.0,Emma Stone,The Amazing Spider-Man 2 ,321227,28631,B.J. Novak,0.0,http://www.imdb.com/title/tt1872181/?ref_=fn_tt_tt_1,1067.0,English,USA,PG-13,200000000.0,2014-01-01,10000.0,6.7,PG-13,0,0,1,0,0,0,2
40,Color,Joseph Kosinski,469.0,125.0,364.0,1000.0,Olivia Wilde,12000.0,172051787.0,Jeff Bridges,TRON: Legacy ,264183,25550,James Frain,0.0,http://www.imdb.com/title/tt1104001/?ref_=fn_tt_tt_1,665.0,English,USA,PG,170000000.0,2010-01-01,10000.0,6.8,PG,0,1,0,0,0,0,6
41,Color,John Lasseter,304.0,106.0,487.0,776.0,Thomas Kretschmann,1000.0,191450875.0,Joe Mantegna,Cars 2 ,101178,4482,Eddie Izzard,0.0,http://www.imdb.com/title/tt1216475/?ref_=fn_tt_tt_1,283.0,English,USA,G,200000000.0,2011-01-01,919.0,6.3,G,1,0,0,0,0,0,5
42,Color,Martin Campbell,436.0,123.0,258.0,326.0,Temuera Morrison,16000.0,116593191.0,Ryan Reynolds,Green Lantern ,223393,17657,Taika Waititi,2.0,http://www.imdb.com/title/tt1133985/?ref_=fn_tt_tt_1,550.0,English,USA,PG-13,200000000.0,2011-01-01,368.0,5.6,PG-13,0,0,1,0,0,0,5
43,Color,Lee Unkrich,453.0,103.0,125.0,721.0,John Ratzenberger,15000.0,414984497.0,Tom Hanks,Toy Story 3 ,544884,19085,Don Rickles,3.0,http://www.imdb.com/title/tt0435761/?ref_=fn_tt_tt_1,733.0,English,USA,G,200000000.0,2010-01-01,1000.0,8.3,G,1,0,0,0,0,0,6
44,Color,McG,422.0,118.0,368.0,988.0,Bryce Dallas Howard,23000.0,125320003.0,Christian Bale,Terminator Salvation ,286095,27468,Common,0.0,http://www.imdb.com/title/tt0438488/?ref_=fn_tt_tt_1,974.0,English,USA,PG-13,200000000.0,2009-01-01,3000.0,6.6,PG-13,0,0,1,0,0,0,7
45,Color,James Wan,424.0,140.0,0.0,14000.0,Paul Walker,26000.0,350034110.0,Jason Statham,Furious 7 ,278232,79150,Vin Diesel,0.0,http://www.imdb.com/title/tt2820852/?ref_=fn_tt_tt_1,657.0,English,USA,PG-13,190000000.0,2015-01-01,23000.0,7.2,PG-13,0,0,1,0,0,0,1
46,Color,Marc Forster,654.0,123.0,395.0,1000.0,Brad Pitt,17000.0,202351611.0,Peter Capaldi,World War Z ,465019,32392,Mireille Enos,0.0,http://www.imdb.com/title/tt0816711/?ref_=fn_tt_tt_1,995.0,English,USA,PG-13,190000000.0,2013-01-01,11000.0,7.0,PG-13,0,0,1,0,0,0,3
47,Color,Bryan Singer,539.0,149.0,0.0,20000.0,Peter Dinklage,34000.0,233914986.0,Jennifer Lawrence,X-Men: Days of Future Past ,514125,91434,Hugh Jackman,7.0,http://www.imdb.com/title/tt1877832/?ref_=fn_tt_tt_1,752.0,English,USA,PG-13,200000000.0,2014-01-01,22000.0,8.0,PG-13,0,0,1,0,0,1,2
48,Color,J.J. Abrams,590.0,132.0,14000.0,928.0,Bruce Greenwood,19000.0,228756232.0,Benedict Cumberbatch,Star Trek Into Darkness ,395573,21411,Noel Clarke,0.0,http://www.imdb.com/title/tt1408101/?ref_=fn_tt_tt_1,1171.0,English,USA,PG-13,190000000.0,2013-01-01,981.0,7.8,PG-13,0,0,1,0,0,0,3
49,Color,Bryan Singer,338.0,114.0,0.0,140.0,Ewen Bremner,979.0,65171860.0,Eddie Marsan,Jack the Giant Slayer ,106416,1766,Ralph Brown,1.0,http://www.imdb.com/title/tt1351685/?ref_=fn_tt_tt_1,205.0,English,USA,PG-13,195000000.0,2013-01-01,557.0,6.3,PG-13,0,0,1,0,0,0,3
51,Color,Mike Newell,306.0,116.0,179.0,236.0,Richard Coyle,15000.0,90755643.0,Jake Gyllenhaal,Prince of Persia: The Sands of Time ,222403,16149,Reece Ritchie,2.0,http://www.imdb.com/title/tt0473075/?ref_=fn_tt_tt_1,453.0,English,USA,PG-13,200000000.0,2010-01-01,567.0,6.6,PG-13,0,0,1,0,0,0,6
52,Color,Guillermo del Toro,575.0,131.0,0.0,919.0,Clifton Collins Jr.,16000.0,101785482.0,Charlie Hunnam,Pacific Rim ,381148,19166,Larry Joe Campbell,0.0,http://www.imdb.com/title/tt1663662/?ref_=fn_tt_tt_1,1106.0,English,USA,PG-13,190000000.0,2013-01-01,968.0,7.0,PG-13,0,0,1,0,0,0,3
53,Color,Michael Bay,428.0,154.0,0.0,581.0,Lester Speight,894.0,352358779.0,Glenn Morshower,Transformers: Dark of the Moon ,326180,2593,Kevin Dunn,2.0,http://www.imdb.com/title/tt1399103/?ref_=fn_tt_tt_1,899.0,English,USA,PG-13,195000000.0,2011-01-01,829.0,6.3,PG-13,0,0,1,0,0,0,5
54,Color,Steven Spielberg,470.0,122.0,14000.0,1000.0,Ray Winstone,11000.0,317011114.0,Harrison Ford,Indiana Jones and the Kingdom of the Crystal Skull ,333847,14959,Jim Broadbent,2.0,http://www.imdb.com/title/tt0367882/?ref_=fn_tt_tt_1,2054.0,English,USA,PG-13,185000000.0,2008-01-01,1000.0,6.2,PG-13,0,0,1,0,0,0,8
55,Color,Peter Sohn,298.0,93.0,113.0,113.0,Jack McGraw,275.0,123070338.0,A.J. Buckley,The Good Dinosaur ,62836,696,Peter Sohn,0.0,http://www.imdb.com/title/tt1979388/?ref_=fn_tt_tt_1,345.0,English,USA,PG,54076105.4,2015-01-01,150.0,6.8,PG,0,1,0,0,0,0,1
56,Color,Mark Andrews,488.0,93.0,56.0,838.0,John Ratzenberger,2000.0,237282182.0,Kelly Macdonald,Brave ,273556,5005,Julie Walters,0.0,http://www.imdb.com/title/tt1217209/?ref_=fn_tt_tt_1,428.0,English,USA,PG,185000000.0,2012-01-01,1000.0,7.2,PG,0,1,0,0,0,0,4
57,Color,Justin Lin,322.0,122.0,681.0,105.0,Melissa Roxburgh,998.0,130468626.0,Sofia Boutella,Star Trek Beyond ,53607,1327,Lydia Wilson,4.0,http://www.imdb.com/title/tt2660888/?ref_=fn_tt_tt_1,432.0,English,USA,PG-13,185000000.0,2016-01-01,119.0,7.5,PG-13,0,0,1,0,0,0,0
58,Color,Andrew Stanton,421.0,98.0,475.0,522.0,Fred Willard,1000.0,223806889.0,John Ratzenberger,WALL·E ,718837,2975,Jeff Garlin,0.0,http://www.imdb.com/title/tt0910970/?ref_=fn_tt_tt_1,1043.0,English,USA,G,180000000.0,2008-01-01,729.0,8.4,G,1,0,0,0,0,0,8
59,Color,Brett Ratner,162.0,91.0,420.0,173.0,Dana Ivey,268.0,140080850.0,Tzi Ma,Rush Hour 3 ,121084,1125,Noémie Lenoir,2.0,http://www.imdb.com/title/tt0293564/?ref_=fn_tt_tt_1,221.0,English,USA,PG-13,140000000.0,2007-01-01,268.0,6.2,PG-13,0,0,1,0,0,0,9
60,Color,Roland Emmerich,367.0,158.0,776.0,310.0,Liam James,1000.0,166112167.0,Oliver Platt,2012 ,283418,2144,Tom McCarthy,0.0,http://www.imdb.com/title/tt1190080/?ref_=fn_tt_tt_1,1055.0,English,USA,PG-13,200000000.0,2009-01-01,468.0,5.8,PG-13,0,0,1,0,0,0,7
61,Color,Robert Zemeckis,240.0,96.0,0.0,10000.0,Colin Firth,18000.0,137850096.0,Robin Wright,A Christmas Carol ,72809,48878,Gary Oldman,0.0,http://www.imdb.com/title/tt1067106/?ref_=fn_tt_tt_1,249.0,English,USA,PG,200000000.0,2009-01-01,14000.0,6.8,PG,0,1,0,0,0,0,7
62,Color,Lana Wachowski,384.0,127.0,0.0,13000.0,Mila Kunis,17000.0,47375327.0,Channing Tatum,Jupiter Ascending ,139593,47334,Eddie Redmayne,1.0,http://www.imdb.com/title/tt1617661/?ref_=fn_tt_tt_1,720.0,English,USA,PG-13,176000000.0,2015-01-01,15000.0,5.4,PG-13,0,0,1,0,0,0,1
63,Color,David Yates,248.0,110.0,282.0,103.0,Alexander Skarsgård,11000.0,124051759.0,Christoph Waltz,The Legend of Tarzan ,42372,21175,Casper Crump,2.0,http://www.imdb.com/title/tt0918940/?ref_=fn_tt_tt_1,239.0,English,USA,PG-13,180000000.0,2016-01-01,10000.0,6.6,PG-13,0,0,1,0,0,0,0
64,Color,Andrew Adamson,284.0,150.0,80.0,82.0,Kiran Shah,1000.0,291709845.0,Jim Broadbent,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",286506,1317,Shane Rangi,5.0,http://www.imdb.com/title/tt0363771/?ref_=fn_tt_tt_1,1463.0,English,USA,PG,180000000.0,2005-01-01,190.0,6.9,PG,0,1,0,0,0,0,11
65,Color,Bryan Singer,396.0,144.0,0.0,1000.0,Michael Fassbender,34000.0,154985087.0,Jennifer Lawrence,X-Men: Apocalypse ,148379,49684,Tye Sheridan,6.0,http://www.imdb.com/title/tt3385516/?ref_=fn_tt_tt_1,622.0,English,USA,PG-13,178000000.0,2016-01-01,13000.0,7.3,PG-13,0,0,1,0,0,1,0
66,Color,Christopher Nolan,645.0,152.0,22000.0,11000.0,Heath Ledger,23000.0,533316061.0,Christian Bale,The Dark Knight ,1676169,57802,Morgan Freeman,0.0,http://www.imdb.com/title/tt0468569/?ref_=fn_tt_tt_1,4667.0,English,USA,PG-13,185000000.0,2008-01-01,13000.0,9.0,PG-13,0,0,1,0,0,0,8
67,Color,Pete Docter,408.0,96.0,0.0,262.0,Delroy Lindo,1000.0,292979556.0,John Ratzenberger,Up ,665575,2635,Jess Harnell,1.0,http://www.imdb.com/title/tt1049413/?ref_=fn_tt_tt_1,704.0,English,USA,PG,175000000.0,2009-01-01,848.0,8.3,PG,0,1,0,0,0,0,7
68,Color,Rob Letterman,219.0,94.0,11.0,459.0,Rainn Wilson,1000.0,198332128.0,Amy Poehler,Monsters vs. Aliens ,114553,2579,Stephen Colbert,2.0,http://www.imdb.com/title/tt0892782/?ref_=fn_tt_tt_1,187.0,English,USA,PG,175000000.0,2009-01-01,973.0,6.5,PG,0,1,0,0,0,0,7
69,Color,Jon Favreau,486.0,126.0,4000.0,4000.0,Jeff Bridges,21000.0,318298180.0,Robert Downey Jr.,Iron Man ,696338,39252,Jon Favreau,3.0,http://www.imdb.com/title/tt0371746/?ref_=fn_tt_tt_1,1055.0,English,USA,PG-13,140000000.0,2008-01-01,12000.0,7.9,PG-13,0,0,1,0,0,0,8
70,Color,Martin Scorsese,682.0,126.0,17000.0,1000.0,Christopher Lee,17000.0,73820094.0,Chloë Grace Moretz,Hugo ,245333,36017,Ray Winstone,0.0,http://www.imdb.com/title/tt0970179/?ref_=fn_tt_tt_1,678.0,English,USA,PG,170000000.0,2011-01-01,16000.0,7.5,PG,0,1,0,0,0,0,5
71,Color,Barry Sonnenfeld,85.0,106.0,188.0,582.0,Salma Hayek,10000.0,113745408.0,Will Smith,Wild Wild West ,129601,15870,Bai Ling,2.0,http://www.imdb.com/title/tt0120891/?ref_=fn_tt_tt_1,648.0,English,USA,PG-13,170000000.0,1999-01-01,4000.0,4.8,PG-13,0,0,1,0,0,0,17
72,Color,Rob Cohen,264.0,112.0,357.0,595.0,Brendan Fraser,5000.0,102176165.0,Jet Li,The Mummy: Tomb of the Dragon Emperor ,117927,9131,Russell Wong,2.0,http://www.imdb.com/title/tt0859163/?ref_=fn_tt_tt_1,501.0,English,USA,PG-13,145000000.0,2008-01-01,3000.0,5.2,PG-13,0,0,1,0,0,0,8
73,Color,David Ayer,418.0,123.0,452.0,329.0,Robin Atkin Downes,10000.0,161087183.0,Will Smith,Suicide Squad ,118992,11287,Ike Barinholtz,8.0,http://www.imdb.com/title/tt1386697/?ref_=fn_tt_tt_1,971.0,English,USA,PG-13,175000000.0,2016-01-01,336.0,6.9,PG-13,0,0,1,0,0,0,0
74,Color,Tom Shadyac,186.0,96.0,293.0,7000.0,Morgan Freeman,87000.0,100289690.0,Jimmy Bennett,Evan Almighty ,115099,108016,Steve Carell,0.0,http://www.imdb.com/title/tt0413099/?ref_=fn_tt_tt_1,257.0,English,USA,PG,175000000.0,2007-01-01,11000.0,5.4,PG,0,1,0,0,0,1,9
75,Color,Doug Liman,585.0,113.0,218.0,509.0,Lara Pulver,10000.0,100189501.0,Tom Cruise,Edge of Tomorrow ,431620,12652,Noah Taylor,1.0,http://www.imdb.com/title/tt1631867/?ref_=fn_tt_tt_1,741.0,English,USA,PG-13,178000000.0,2014-01-01,854.0,7.9,PG-13,0,0,1,0,0,0,2
76,Color,Kevin Reynolds,91.0,176.0,58.0,60.0,Rick Aviles,711.0,88246220.0,Jeanne Tripplehorn,Waterworld ,144337,1004,Zakes Mokae,0.0,http://www.imdb.com/title/tt0114898/?ref_=fn_tt_tt_1,309.0,English,USA,PG-13,175000000.0,1995-01-01,60.0,6.1,PG-13,0,0,1,0,0,0,21
77,Color,Stephen Sommers,250.0,118.0,208.0,570.0,Dennis Quaid,23000.0,150167630.0,Joseph Gordon-Levitt,G.I. Joe: The Rise of Cobra ,174578,26683,Leo Howard,4.0,http://www.imdb.com/title/tt1046173/?ref_=fn_tt_tt_1,534.0,English,USA,PG-13,175000000.0,2009-01-01,2000.0,5.8,PG-13,0,0,1,0,0,0,7
78,Color,Pete Docter,536.0,95.0,0.0,384.0,Mindy Kaling,1000.0,356454367.0,Amy Poehler,Inside Out ,345198,2944,Phyllis Smith,1.0,http://www.imdb.com/title/tt2096673/?ref_=fn_tt_tt_1,773.0,English,USA,PG,175000000.0,2015-01-01,767.0,8.3,PG,0,1,0,0,0,0,1
80,Color,Jon Favreau,453.0,124.0,4000.0,4000.0,Scarlett Johansson,21000.0,312057433.0,Robert Downey Jr.,Iron Man 2 ,522371,48638,Jon Favreau,4.0,http://www.imdb.com/title/tt1228705/?ref_=fn_tt_tt_1,723.0,English,USA,PG-13,200000000.0,2010-01-01,19000.0,7.0,PG-13,0,0,1,0,0,0,6
81,Color,Rupert Sanders,416.0,132.0,274.0,11000.0,Kristen Stewart,26000.0,155111815.0,Chris Hemsworth,Snow White and the Huntsman ,228554,72881,Sam Claflin,0.0,http://www.imdb.com/title/tt1735898/?ref_=fn_tt_tt_1,710.0,English,USA,PG-13,170000000.0,2012-01-01,17000.0,6.1,PG-13,0,0,1,0,0,0,4
82,Color,Robert Stromberg,401.0,97.0,171.0,846.0,Sharlto Copley,11000.0,241407328.0,Angelina Jolie Pitt,Maleficent ,252257,15516,Sam Riley,2.0,http://www.imdb.com/title/tt1587310/?ref_=fn_tt_tt_1,634.0,English,USA,PG,180000000.0,2014-01-01,2000.0,7.0,PG,0,1,0,0,0,0,2
83,Color,Matt Reeves,521.0,130.0,198.0,884.0,Judy Greer,10000.0,208543795.0,Gary Oldman,Dawn of the Planet of the Apes ,317542,14363,Kodi Smit-McPhee,0.0,http://www.imdb.com/title/tt2103281/?ref_=fn_tt_tt_1,620.0,English,USA,PG-13,170000000.0,2014-01-01,2000.0,7.6,PG-13,0,0,1,0,0,0,2
85,Color,Carl Rinsch,218.0,128.0,47.0,982.0,Cary-Hiroyuki Tagawa,18000.0,38297305.0,Keanu Reeves,47 Ronin ,116994,20965,Jin Akanishi,2.0,http://www.imdb.com/title/tt1335975/?ref_=fn_tt_tt_1,324.0,English,USA,PG-13,175000000.0,2013-01-01,1000.0,6.3,PG-13,0,0,1,0,0,0,3
86,Color,Anthony Russo,576.0,136.0,94.0,2000.0,Chris Evans,19000.0,259746958.0,Scarlett Johansson,Captain America: The Winter Soldier ,496749,36188,Hayley Atwell,1.0,http://www.imdb.com/title/tt1843866/?ref_=fn_tt_tt_1,742.0,English,USA,PG-13,170000000.0,2014-01-01,11000.0,7.8,PG-13,0,0,1,0,0,0,2
87,Color,Mike Mitchell,226.0,93.0,31.0,213.0,Kathy Griffin,4000.0,238371987.0,Jon Hamm,Shrek Forever After ,138661,4628,Mary Kay Place,2.0,http://www.imdb.com/title/tt0892791/?ref_=fn_tt_tt_1,173.0,English,USA,PG,165000000.0,2010-01-01,225.0,6.4,PG,0,1,0,0,0,0,6
